,review/text
209,"It's pretty cool looking at one of these maps that started out as satellite photos and then were filled in with cartographic caricatures (with prime features exaggerated out of scale). You are musing ""wow, I didn't know that was out there,"" and pretty soon you're in the car heading out to see something that no one you know ever heard of. I found something on this map out in the vastness of Kansas called the Chalk Hills, looked it up, it's all on private land but apparently the owners don't mind, there are no fences visible and no other tourists, and there are these natural wonders for you to grok at.http://www.kansasphototour.com/chalk.htmhttp://www.kansasphototour.com/castle.htmhttp://www.ourks.com/chalkpyramids.htmlI have one of these in my own backyard, the Sutter Butteshttp://www.middlemountain.org/picture.htmin the upper part of the Central Valley of California.It is normally invisible in Sacramento because of either smog or agricultural dust. I had never seen it, one day it rained and I saw this magic mountain rising out of the plain. I went to bed, had a dream about it, got up out of my sleep and had to drive there. (Unfortunately, the locals glare at you because of all the bad tourists, and this one is fenced, with some places with weird manhole covers and red-&-white striped antennas sticking up out of the ground.)"
210,"This map is clear and informative, but more than that, it is beautiful to look at.Ordering it from the UK, I would have liked a quicker delivery option. But it arrived more or less when they promised -- if anything, a week sooner than I expected.Thoroughly satisfied with this purchase."
211,"Due to the time-lag up to the present (5-9 years after the original publication) it needs to be pointed out that some of the essays may have lost shreds from their novelty; while others, like Al Hidell's charting out the EuroAtlantic grand chessplayers' ulterior geostrategical motives (among them g.o.d.= guns, oil/pipelines, drugs) leading up to the violent breakup of Yugoslavia and to the birth of their latest stepchild, say, in the form of Kosovo, are timelier than ever. Just as Israeli connections (far from being the whole picture) to the 9-11 inside job (& the rest), in another offering from the same author/co-editor, cannot be repeated often enough either.Aside from the articles already referred to in the above editorial review, further titles are as follows:Joan d'Arc: Giordano Bruno: 16th-century ufologist?; The Aviary and the Eschaton: an interview with 'Chicken Little'; Marcel Vogel and the secret of the fifth force; w. Frank Berube: Declaring war on the human spirit: the media spectacle vs. the collective psyche. (Sidebar: Worthwhile to note at this juncture that the historical personage Jeanne d'Arc, whose name the contributing author/co-editor borrowed as her nom de guerre, may not have been burnt alive but lived to the age of 57 as Margarita d'Champdiver, daughter of king Charles VI and his mistress Odetta d'Champdiver. See in David McGowan's ""Programmed to Kill. The Politics of Serial Murder"" (2004, p. 344 fn. 50) citing a Pravda report dated 01/27/2004.)Frank Berube: The Third Reich of Dreams: Charlotte Beradt's ""Diaries of the Night"". Scott Corrales: Unusual ufo cults examined; Chupacabras: a study in darkness; Conspiracy theories in history. Andy Lloyd: Sol B: the messianic star?; Occult symbolism of Nibiru, the planet of the cross(x)ing. Alan Cantwell Jr.: Blaming gays, blacks, and chimps for AIDS; Anthrax bioterrorism and the insanity of biological warfare. Kathy Kasten: Cruisin' with the spooks: aboard the maiden voyage of a different kind of spy ship. Alexandra Bruce: Reptoid invasion. Jorge Martin: Ufos and aliens in the Caribbean: what is the US Navy hiding in Vieques, Puerto Rico?. Acharya S.: Jesus the Globetrotter: the myth of the mysterious 'lost years'. William Patrick Bourne: The Chinese 'guest star' of 1054 A.D. and Earth catastrophism. Brian Tuohy: The NFL: professional fantasy football?. Steven Ferry: Psychiatry and psychology: reexamining a sacred cow; Robert Guffey: Heaven's Gate, Columbine, the Unabomber, and other atrocities; etc.These concise yet incisive and highly readable papers are arranged under the rubrics 'hidden history', 'ufos and supernatural phenomena', 'psychological warfare', 'cults and secret societies', 'planet x' (personally we find this subject the least interesting), 'biological and chemical warfare', 'the big picture' (Big Brother's control grid), 'secret and suppressed science', 'mind control/thought control'. Contrary to the product description the present compilation counts not 368 but 438 pages, with detailed index enclosed."
212,"I remember getting this book so faintly that that says alot about my opinion of it. Basically, while I will entertain lots of odd ideas and theories, this book was basically silly."
213,"I bought this to help understand care issues specific to the Birman breed, and it really helped. The section on exhibition was interesting, but not really relevant to my needs. It was great to have sections on feeding, grooming, temperament, and health that were tailored specifically to the Birman, since this breed of cat is very unique. It goes into detail on health issues of the Birman such as the breed's propensity for kidney disease and the importance of annual blood work. The book also talks about the gentle nature of this cat and how it needs the companionship of humans much more than other breeds and how easily a Birman can get its feelings hurt and even pout. Grooming tips are given on how to take care of the thick yet fine coat of the Birman. I've found it to be the best book on cat care out there for the Birman and I highly recommend it."
214,"Wonderful! Karen Cummings writes a book that tells you all the basics in cat care and tailors it to the Birman breed. The excellent photographs enable the reader to see what a Birmans really looks like. The history of the Birman, (Sacred cat of Burma), it's mythic legend is beautifully illustrated in the artworks that appear on page three and on seven, &quot;Mandela Cat&quot; and &quot;Temple of the Sacred Cat&quot;. I am the artist of these artworks and I am very impressed with the excellent reproductions produced by the publisher. In addition, as a Birman, breeders for over 15 years I can and do highly recommend this book."
215,"Wonderful! Karen Cummings writes a book that tells you all thebasics of cat care and tailors it to the Birman breed. The excellentphotographs enable the reader to see what a Birman really looks like. The history of the Birman, (Sacred cat of Burma), it's mythic legend is beautifully illustrated in the artworks that appear on page three and seven; &quot;Mandela Cat&quot; and &quot;Temple of the Sacred Cat&quot;. I am the artist of these artworks and I am very impressed with the excellent reproductions produced by the publisher. In addition, as a Birman breeder for over 15 years I can and do highly recommend this book."
216,Book shipped quickly and was in excellent condition as stated. Easy transaction would buy again
217,"Tess was washed ashore on the Isle of May during a terrible storm eleven years ago, presumed to be the only survivor of a shipwreck. Just six years old at the time, Tess had buried horrible memories deep within her, and remembered little of what brought her to the island. An elderly couple living on the island raised her and taught her to be self-sufficient. But now they are dead, and Tess is all alone on the island. She longs for human companionship but has learned to fear the world beyond the Isle of May. When a young Highlander washes ashore in a storm, Tess feels compelled to save him. At twenty years of age, Colin Macpherson is the youngest son of a Highland laird. He's been restlessly roaming the seas, but when he washes up on Tess's island, everything changes. As Colin helps Tess remember her past, he finds himself drawn to her as he's never been drawn to a woman before. And Tess is discovering strong feelings for him as well, feelings that may very well be love. But when they return to the mainland in search of Tess's heritage, will they be able to stay together, or will they be torn apart?Set in Scotland in 1543, this is my new favorite book in the Avon True Romance series. The love story between Tess and Colin was so romantic and incredibly sweet, and I LOVED the setting. If you are a fan of the Avon True Romance series, or like historical romances for teens, this book is a must-read."
218,"After enjoying a previous Avon True Romance, Gwyneth and the Thief, I decided to read more from the series. I thought Gwyneth was great, but this is even better yet. Tess is a seventeen-year-old who lives on the Isle of May. She was taken under the care of a couple who oversaw the island, but they have died, and she is completely alone. One day, she finds that a young man is washed ashore, and drags him from the water. She does not want to be near him, as she was warned to stay away from all men, so she hides on the island. Colin Macpherson, a highlander, searches for the young lady who rescued him. Tess is stubborn, but eventually they get to know one another. Tess does not know much about her past, with the exception of nightmares which give small recollections. Colin realizes that Tess is part of the Lindsay clan, and when a ship comes to rescue him from the island, Tess goes with him, in order to find the life she was taken away from eleven years ago. Will she be able to have peace, and be with Colin, the person she has grown to love? Read this very interesting novel to find out. I really enjoyed reading this. Many congratulations to May McGoldrick on writing such a great novel!"
219,"This is an engaging a count of life of Tess a girl who at a young age washed up on the shore of the Isle of May. With no memory of the life before then, she stays with the old caretakers of the isle. After the caretakers are dead a young man, Colin Macpherson washes up on shore. Colin takes Tess back with her to his castle where he helps her uncover her past. They are opposites,but you know what they say opposites attract. This book is just one of many in the Avon True Romance series. I have read every book in the series and I know that if you like this book you love the rest. This is a great book for girls about 10 to 16 because it is still a romance novel, but not what you call a trashy romance novel. It is a great novel fokr those who are just getting into romance novels."
220,"This book was a perfect historical romance for teens! It is set in Scotland in the 1500s. Tess has lived on a desolate island ever since she was a little girl, raised by its caretakers who are now dead, leaving 17-year-old Tess alone. She is rescued by Colin MacPherson, a handsome young Highlander, who takes her back to the mainland. He tries to help her find her heritage, but the two end up falling in love. This book was the best Avon True Romance, it was just soooo sweet and romantic and I loved the Scottish Medieval setting."
221,"I loved everything about this book - the setting, the characters, and the romance. The love story between Tess and Colin was really sweet and I loved the Medieval Scottish setting of the 1500s. I highly recommend this to teens who love historical romances!"
222,"This book was spellbinding! Filled with adventure, romance and sort of a murder mystery. I couldn't put it down!I wish more of the guys were like Colin!!!!!! Except I wasn't to fond of the hair that's like longer than mine ......"
223,"Tess Lindsey has lived on the remote island of Isle of May and has been raised by the only two other people who lived on the island, all the time uncertain of who she is and her true identity. After the death of her caretakers, she is left on the island all by herself and must do battle alone. That is until one day she rescues a stranger---a stranger who also holds her questions of her past in his very hands. Colin MacPherson has the knack for adventure and a beautiful girl at every single place he visits, that is until he meets Tess...a strong-willed girl that intrigues him at every turn. As the two form a bonding trust Colin begins to piece together the clues of Tess's mysterious past...and a future that most likely will not include him. This definitely has to be one of the best Avon True Romances so far, after Anna and the Duke. I didn't expect it to be this good so it really took me by surprise. Every teenage girl who loves romance should read this book!"
224,"When I got this book, I wasn't expecting much, but man was I wrong! I loved this book! Now I may not usually be tied in by a man with long blond hair wearing a kilt, but the authors really made Colin into this enchanting Highlander. Tess is a very soft heroine. While she sometimes seems too guillible, I have to remember that it is part of the story. This is one of my favorite books in the series."
225,"If you're looking for a deep read, this is not the book. However, if you want to sit down and speed through a happy, cutesy romance novel than this book fits you perfectly. I enjoyed reading it and re-reading it. Every once and awhile a little light book is good for the mind set of a reader."
226,"This is such a wonderful addition to the series... I love the passion that is expressed, and the mystery of Tess' past that is revealed as you read... I challenge any who say this is not a good book."
227,"I really liked this one. I admit I had a little bit of a hard time getting into it a first. I have enjoyed all of the Avon true romance books, but the covers don't do much to promote themselves."
228,"The plot and outline was good, just the writing needed a bit of work. Things were repeated over and over through out the story and became redundant. Talk of children playing with dogs and such. Also there wasn't a good transition in Tess's attitude. She is weepy and scared, but when she gets there she is couragous, makes a speech and confronts a steward? This was okay, but other Avon True Romance books are better. Nicola and the Viscount, and Anna and the Duke being my favorites."
229,"I'm not a teenager, but I appreciate the well-written (and clean) romance! This is a great addition to the series, and one of my favorites :)"
230,"Tess is alone. For eleven years, an elderly couple raised her after finding her at six, alone and frightened, amongst the rocks on the shoreline of the island they keep. Now, though, Tess' guardians have died, leaving Tess to tend to the island and, as per their orders, hide whenever someone new comes there. When she finds a handsome young Highlander washed up on the shores of her island, she knows she must help him or he will die.As Tess and the handsome Highlander, Colin, spend time together waiting for a ship to come take him home, they form a friendship and discover that Tess is not so alone in the world as she thinks.This was a cute story, and definitely better than the last Avon True Romance (for teens) I picked up. It's the type of thing I would have swooned over as a teenager, had I deigned to read romances at that age (I admit, I had a bit of book snobbery going on, though I secretly loved any romance I could find in books I read). As an adult, now, I read the book and think it's cute. I would have loved to have seen how Tess and Colin's relationship matures as they do, but that is beyond the scope of this book and the age range it is intended for. I will probably be searching out McGoldrick's adult romance novels, though, given the promise this one held."
231,"Tess Lindsay has spent most of her life on an island of the Highlands. When Colin MacPherson ends up shipwrecked there, it starts to get interesting. She tells him all she remembers about herself and her old life. Finally she takes out a token, what she clenching when she arrived on the island, he realizes who she really is. An heir to the Lindsay clan in the highlands, for she is Theresa Catherine Lindsay. Her mother was a lowlander and her father was murdered. When they arrive they find out that her father's murderer, is after Tess still. She see's the face of him and when she visits her mother she sees him again. Colin follows her there to protect her but wonders if he will ever see her again. Will he? What will happen with the murderer see's Tess? Read the book to find out."
232,"In my opinion Tess and the Highlander is a romantic construction. There is conflict, courage and loyalty in this novel. It is tremendously readable and has unforgettable characters."
233,"Tess Lindsay is content to be the sole occupant of a remote island but when Colin Macpherson washes ashore her life of solitude gets shaken up. Tess had always been told to fear strange men but she reluctantly strikes up a friendship with Colin. Soon Tess discovers that she has a family she had forgotten about but will she have the courage to leave the island and start a new life?The beginning of this book is very amusing and the end is decent too but the middle is a big problem. The plot loses much of it's believability mostly due to the poor characterization. All of the new characters that are introduced are one sided and their behavior lacks reason. Even Tess and Colin's development is side tracked in much the same way and their relationship seems awkward and forced. The writing does improve towards the end but it's not enough to save the book. Unless you have your heart set on reading all of the books in the series, skip this one."
234,"This is my first encounter with Yoruba and I have to say that CDs are really helping. However, the book is very short and not particular about certain aspects and details of grammar and other nuances - for someone who NEVER spoke Yoruba and doesn't have anybody to ask for a clue, it leaves a lot of questions unanswered - for this, however, there are hopefully other Yoruba textbooks.On the brighter note, I would like to add that the book does a very good job in giving a little insight on Yoruba people and Yoruba culture in general. I would recommend it as a good start book for anyone who wants to learn Yoruba - you can't go wrong with it."
235,"While I am still in the process of learning the Yoruba language, I think that this book is a nice beginners tool. Please keep in mind that the new book comes with to audio CD's that are MUCH NEEDED! So if you're considering buying the book used, fine, but be sure to ask if the CD's come with.Without the audio assistance, I'm not sure how great of a tool this will be in your journey to learn the beautiful language of Yoruba!Best,S"
236,"This book contains a great amount of vocabulary. It teaches you the Anglicized versions of certain words such as ""teacher"" but it also gives you the Yoruba word. Although I didn't appreciate the Anglicized words at first, they are good to know because a lot of people use them. The CD is an excellent and necessary addition to the book. There are lots of dialogues and lists of vocabulary on them (there are 2 CDs). The CD does skip over some of the exercises in the book, which I guess you're supposed to go over by yourself or with a teacher, though. All in all, it's a great set and, if mastered, can bring the user to a high level of fluency. I also like that the narrator, who speaks English to announce the lessons, is a native speaker and doesn't butcher the names of the characters in the dialogues. There is a Yoruba book/CD set created by another publisher who uses a British narrator. It really throws you off course throughout the CD. Watch out for that one and buy this one instead!"
237,"I agree, the CDs are a much needed help, since it would be impossible to pronnounce the Yoruba tones without the help of a native speaker. However, the design of the book is really poor and confusing. I have found several spealling mistakes in English and Yoruba. And the grammar explanations are very hard to understand.Unfortunately there are not many Teach Yourself Yoruba books that are worth it. This one at least provides basic vocabulary and pronounciation skills."
238,"I recommend this book highly. I have a competitor's text also and while it is useful, I appreciate the format of Beginner's Yoruba which is interactive. The companion CDs that come with this book are simply outstanding. I especially enjoy the fact that the book is respectful of ALL religions.As an update after using the CDs for a few weeks, it is true that the speaker who speaks fastest on the CD does make many mistakes. I noted errors on greetings. These are rather odd to say the least. However, I still think this is a great source! My toddler is learning right along with me and she demands I play the CD everyday! As we repeat phrases, I simply correct the errors. I really appreciate the different participants on the CD and the dialogues which are authentic and properly contextualize the vocabulary.The phrase ""O'ngbiyanju"" is priceless!"
239,"This is not the first book I've read that is critical of psychiatry. But compared to Caplan, Breggin, and Szasz, this is the most sensible critique I've seen. Usually, in the anti-psychiatry literature one finds inexcusible nonsequiturs. For example: ""Psychiatrists often don't realize that the medication is causing the disorder (good point). Therefore, biological psychatry is unsound (bad point)."" Or ""Psychiatric illnesses are voted on by committee (good point), therefore there is no such thing as mental illness (bad point)."" Walker avoids making such obvious nonsequiturs. Far from being against biological psychiatry, Walker argues that current psychiatry is not biological enough. It appeals to highly hypothetical conditions (such as neurotransmitter disorders) while ignoring known conditions (such as pin worms or hypothyroidism). Some might think that this is all that Walker is saying, but his general point seems to be that since psychiatrists are taught to run through symptoms lists instead of being medical detectives, there a lot of unknown conditions which they are failing to discover."
240,"Dr. Walker's book is a stern indictment of the contemporary medical profession and the mental health field in particular. He charges the majority of psychiatrists of ignoring the true needs of their patients and instead practicing and arbitrary pseudo-science of labeling. They seem to have given up on the idea (fundamental to the philosophy of science)that all events have a cause and that to understand something we must understand the process of cause and effect that brought it into being. Most modern psychiatrists are not interested in finding out what is wrong through careful methodology. They are divided into two camps. The psychoanalytic types deny a medical cause for abnormal feelings and behaviour altogether (however, they still want the prestige that comes with being a medical doctor!). They look everything from a bad childhood to alien abductions to explain such things as psychosis and manic depression, even though no scientific study has ever proven the theories on which their claims are based. The next group, the standard issue biopsychiatrists are a little more up to date. They would admit the obvious scientific truth that someone who hears voices or is immobilized by a deep depression is psysically ill. However, they drop the ball as well. Most biologically based psychiatrists give very vague answers about the causes of mental illness, and rely on a few biological treatments which are tried on the patient almost randomly until one seems to &quot;work&quot;. For instance, a depressed person will be given one antidepressant drug after another without the doctor even stopping to consider that the deprssion may result from anemia, a thyroid imbalance, poor nutrition or a host of other causes. Many psyciatric patients today are not even given a blood test, an EEG or any other genuine medical test before traetment is prescribed. Walker points out that until people are given a battery of tests, we will never really know what is wrong with them. Prozac or tranquilizers may make the! m feel better temporatily, but they could be literally dying. He also attacks the concepts of hypochodndria and facetious disorder. For the most part, he argues, these are destructive labels used to protect doctors and stigmatized patients (&quot;if I can't figure out what is wrong with you then it is all in you're head and/or you are just making it up&quot;) While I don't agree with all his points (for instance, his extreme anti-prozac position) I must say that this book is must reading for anyone in need of mental health care."
241,"I was very impressed with A Dose of Sanity because so many books critical of psychiatry remind me of Breggin which claim that there is something &quot;spiritual&quot; missing in the patient, and the author ignores the bioligical problems inherent in the behavioral or mood disorder.However, I as I made my way through the book I was concerned that Dr. Walker was not going to address what to do if you have been diagnosed with a serious mood disorder, but were unable to find a physical cause (like a boy that was ADHD but had cardiac problems). I was right. He never said what to do if you have been diagnosed with manic depression (or any of the other hard to treat mood disorders). He did not address lithium or other non-antidepressant therapies for mood disorders. I agree that these treatments are probably only treating the symptoms of some underlying brain dysfunction that science has not yet named, but what does the patient do until science has figured this out? Remain psychotic? Lithium therapy may be some band-aid solution for a cellular dysfunction of our brain matter, but is a patient supposed to discontinue this medication because science can only offer this treatment to help the symptoms of the disorder? I wish Walker had offered an opinion and information on this issue.Also, along the same line, he didn't say what patients should do once they had gone through exstensive medical testing to determine their problem and nothing physically wrong was found. (Nevermind the fact that he did't give specific tests to ask for - just blood and urinalysis in addition to what else?) If you know that you don't suffer from pin worms, syphillis, typhus, cardiac problems or whatever else, but your symptoms only seem to match typical manic symptoms that only lithium helps, should you throw in the towel and accept the psychotropic medication?I do think that Dr. Walker is truly concerned about patients who have fallen victim to DSM &quot;diagnosis&quot;, and this book could be very helpful for a patient who has received psychiatric care, but did not have a full medical work-up before taking psychotropic medications. I only wish this book had touched on the issues that I mentioned above.Finally, the most important message of this book is never stop learning about what you have been told your disorder is, and never take the word of your doctor as law. As Walker says himself, there is no way that one doctor can know everthing about medicine."
242,"Walker's book rests on two main themes. One is that theDSM, in spite of its name, is not a diagnostic manual at all, but a catalogue of descriptive labels that serve as an excuse for abandoning further medical investigation. He calls the DSM ""a cookbook listing of symptoms that has replaced the science of differential diagnosis.""The other theme divides into two parts. The minor one is that many people who are slapped with DSM labels and prescribed psychotropic drugs have nothing at all medically wrong with them.The major theme, however, and the main theme of the book next to criticism of the DSM, is that almost all cases of serious aberrations of feelings or behavior stem from physical causes such as genetic disease, hormonal imbalances, toxins, infection, parasites, and tumors. The DSM encourages psychiatrists to be lazy and overlook these causes, he says. Psychotropic drugs only mask them, and do more harm than good. Psychotherapy, including psychoanalysis, are totally useless for these conditions. Psychiatry should return to its true mission as practiced (according to Walker) by Emil Kraepelin and Benjamin Rush, namely to identify and treat the physical causes of insanity.I agree with Walker that cases of grossly aberrant behavior (as opposed to responses to stress) are probably due to unidentified physical causes. However, not identifying these causes is the failure of somatic medicine, not psychiatry. Psychiatry's mission has always been to sweep up after somatic medicine, and to sweep away society's rejects while it's at it.Walker maintains that there is a legitimate use of psychotropic drugs, but only in those extremely rare cases that the physical cause cannot be identified, or no curative treatment exists. My opposition to this contention is that far from being extremely rare, those are exactly all cases with which psychiatry deals. One of Walker's examples of physical disease which psychiatrists frequently fail to identify and treat is Tourette Syndrome, which he calls genetic. In spite of his own insistence that the causes of conditions should be scientifically sought, he fails to provide any evidence that TS is genetic in origin. Even if he had such evidence, since when does identifying conditions as genetic make them curable? On the other hand, Walker overlooks compelling evidence that TS is caused by brain damage: it is common in people whose brains have been damaged by psychotropic drugs. He doesn't mention how he thinks TS should be treated. In fact, the only ""treatment"" that exists, whether effective or not, is Haldol, the very type of treatment he claims to oppose except in those extremely rare cases, whichever they are.While correctly calling into question the efficacy and safety of psychiatric practice, Walker highly overrates somatic medicine. He attaches great diagnostic significance to gene mapping and brain scanning, whereas in reality such toys have as yet benefited no one but the doctors who employ them for research.One of Walker's more bombastic claims for successful treatment of aberrant behavior is ... surgically cleaning cholesterol out of a patient's brain arteries! (Who would be so gullible as to believe that?)Interesting to note are Walker's views on two of the greats among opponents to psychiatry, Peter Breggin and Thomas Szasz.Walker duly credits Breggin with having called attention to the horrific harm done by psychiatric drugs. Unfortunately, according to Walker (and I agree with him on this) the flip side to Breggin is blaming serious dysfunctional behavior on ""bad parenting."" No, not such obvious bad parenting as battering children or trading them for cocaine, but vague failures that only Breggin himself can identify, like paying insufficient attention to children. Walker might have added that those parents who are likely to seek psychiatric services, not to mention pay big bucks for them (a subject on which Breggin never touches), are the very parents who are deeply devoted to their children. Walker also criticizes Breggin for blaming schools, though schools are very much known to contribute to the ill-being of children.Contrary to his position on Breggin, Walker showers praise on Szasz, particularly for having been the first and the most relentless critic of DSM fake diagnoses. However, he feels Szasz goes too far in denying there is ever a physical origin for dysfunctional behavior, and by suggesting that such people are actually ""incompetent, lazy, or bad."" He presumes that Szasz would leave them to die in the streets and in jails, overlooking the fact that Szasz is the only writer in the field who has suggested a practical solution for dealing with such people, namely the non-medical asylum, or as Szasz nicknames it, the ""adult orphanage.""Those of you who are interested in ""alternative psychiatry"" may be interested in Walker's views on such treatments. He does not reject the idea outright, though he considers most of them quackery and downright silly. Acupuncture he calls effective in treating pain - but not curing the cause of pain.Orthomolecular medicinecan treat nutritional deficiency, but nothing else, he says.Walker further criticizes judges' reliance on psychiatric expertise. He says nothing about it that Szasz hasn't said before him. He does not mention involuntary commitment anywhere in the book.Finally, Walker calls on us, potential psychiatric patients, to take responsibility for our own health care. That's fine advice, but limited by the fact that responsibility can be carried out only in freedom. Massive state intervention in medicine means that much of his otherwise excellent advice is impossible to follow.All in all, this book's power is the author's ability to state in layman's language why theDSMis a fraud.Copyright MeTZelf"
243,"Dr.Walker has written a unique,and compassionate book. It has,indeed,saved my sanity! Dr.Walker's treats his patients with tremendous sensitivity,and,with a non-judgemental insight,far beyond any other doctor that I know! I think,and believe,that Dr.Walker is a medical giant,of our time."
244,"This book should be required reading by all psychiatrists. There is still so much to learn from this maverick psychiatrist. Dr.Sydney Walker 111 was an unforgettable and unique and towering giant,we will not find another Dr.Sydney Walker again!! The closest thing to another Dr.Walker in Canada might be the ill-fated Dr.Ed Pakes,a brilliant pioneer bereavement psychiatrist. There is also Dr.Robin Brooks-Hill. Then there is an aloof South African &quot;Shrink&quot;,and his son,who wrote some book called &quot;Freud&quot;. (Obviously that isn't really the correct title,but it is a free country) Besides,why see Dr.Aloof Shrink when you can watch Meryl Streep films on Video. Bouchard is no longer a power,Richler is dead,Where is Trudeau or Lon Chaney Jr when we need him?"
245,"King James: Believe the Hype, The LeBron James Story by Ryan Jones was a great bookto read it tells you about LeBron James early life and about his high school games andwhen he goes into the NBA . He was born in Akron, Ohio on December 30, 1984.He was mostly raised by his mother, LeBron went to school at St. Vincent-St. MaryHigh School . He was the starting point guard . James averaged 18.2 points and 6rebounds per game.Lebron James was also a star football player in addition tobasketball, LeBron was also First-Team All-Stateas a wide receiver for his high schoolteam. But, he didn't want to get hurt so he quit football and concentrated on playingBasketball . In his junior year, he appeared on the cover of SLAM Magazine whichshow everybody in the world who he was.In the NBA LeBron join the ClevelandCavaliers they made many changes to there lineup , adding Larry Hughes ,Damon Jones and Donyell Marshall and many more . Now LeBrons James is Standing at6 feet,8 inches and is 21 years old. That some information about what the book tells youabout. This was a great book and if you love basketball you should get this book."
246,"Came just like the buyer said, like new. had a pretty big fold in the back, but im not expecting flawless on a used book. exactly what i thought so A+. Perfect ship and got so fast."
247,This book is a very interesting one. The book describes how a young basketball star goes through his career from 8th grade to senior year in high school. The book shows Lebron's stuggles and accomplishments. It explains major deals with shoe companies. The book gives highlights from his most hyped high school games. The book shows all aspects of how Lebron made everyone believe the hype. Overall it was a good book and it is for anyone who loves reading about sports and athletes accomplishments.
248,"Ryan Jones is a great basketball writer. In King James: The LeBron James Story he does a great job of trying to show the reader how amazingly good LeBron James is at basketball. Coach Bob Gibbons said about LeBron's performance in the Olympic trials, ""I don't want to blow too much smoke and distort the kid's thinking, but I saw Kobe Bryant in tenth and eleventh grades, and I think this kid is more advanced than Kobe was."" Like LeBron, Kobe Bryant was drafted out of high school and has led the Los Angeles Lakers to multiple NBA Championships.Ryan Jones is editor-in-chief at SLAM, the monthly basketball magazine that combined the sport with hip hop culture at a time when the genre was becoming increasingly popular. The magazine carries advertising for basketball-related products, street-wear clothing and hip hop music, and it has been credited with helping to market hip hop culture and basketball as one. It is only fitting that Ryan Jones wrote his first national magazine feature on LeBron James. He thoroughly explains LeBron's involvement with SLAM magazine throughout the book. He lives in New York with his wife and son.Although Jones seems a bit repetitive at times, his knowledge of basketball and great style shines though and creates an easy to read biography. In Chaper Four, he talks about the potential LeBron possessed in football as well as basketball: even though ""there wasn't much national buzz on LeBron the football player, area football coaches knew better."" Jones even compares him to the New England Patriots Pro-Bowl wideout, Randy Moss. While he mainly focuses on LeBron's basketball ability, his information about LeBron's high school football career is refreshing.With all the hype about LeBron and his constant coverage on ESPN, this book reveals the truth about LeBron and his journey from moving in with his friend's family to his 90 million dollar sneaker deal with Nike. While the vocabulary can be a bit easy at times, the book a joy to read, especially if you are a total sports nut like myself. A stong strength of Jones is to tell the complete story of every little event in Lebron's life. His very descriptive writing explains aspects of basketball that makes this book a good pick for sports lovers and non sports lovers alike. I give this book an eight out of ten and recommend it highly."
249,"I haven't read this book, but dont stop reading just yet. To all of you who have been living in ignorance for the past few years, I'd like to open ur eyes to a little magazine known as SLAM. 3 words: OF THA HOOK (please excuse my language - just trying to talk the talk)But seriously, no matter how die-hard of a ball fan you are, this is essential reading. Ryan Jones writes for the mag."
250,"My story is about LeBron James and how he grew up. When he was a freshman in high school he won tournament MVP for the state, which is amazing.The beginning starts at his childhood and continues so on. My favorite part in the book is when he's a freshman and he played football. Their team made it to state. They lost in the finals, but he got All State. That means hes one of the best in the state. Later that year he made the basketball team. They made it to the state finals. They won and LeBron got MVP. That happened for the next three years.Ryan Jones is a senior editor at SLAM, the monthly basketball magazine. He lives in New York. I would recommend this book to sports fans that like LeBron James. The age and gender I would recommend this book to is ages 13-35 and boys."
251,"This was a very cool book. It had a ton of great inside stuff I didn't know about The Man. The sneaker stuff was really interesting. Clearly LeBron was under enormous pressure to perform and to do the right thing, and even with the scounts and everything esle going on he gave 100% to his high school team, The Irish. Jones does a great job taking us inside the making of a star."
252,This was a AWESOME book. It really looks into the real life of LEBRON JAMES and shows you his trip into stardom. This book is great if you like watching basketball careers grow because is probably the most popular young basketball players in the world today and this book did a really good job of showing how LEBRON is always improving his game. I have read a ton of sports autiobiographies and this one was probably the most inspiring because it took an indept look at the personal and also basketball part of LEBRON JAMES life.
253,King James by Ryan Jones is a biography of Lebron's James' life prior to going into the NBA. It tells about how a little kid who lived in poverty with his mother goes on to become a six foot eight inch 245 pound high school basketball superstar. Lebron has to deal with the pressure of the media and go against tough opponents almost every game. Somehow he is able to handle all of this and all the other obstacles in his life. This is an entertaining book to read and I reccommend it to anyone who is a fan of Lebron James or is interested in reading about the rising star. The author does a great job of telling how Lebron is on and off the court. After reading this book you will come to respect Lebron as a basketbal player and a person.
254,"I first heard about Lebron when he was on the cover of Sports Illustrated and followed him ever since. I thought I read a lot about him, but reading this book told me so much that I had never known about Lebron as a player, a person, and all the hype and attention he got from the media, the shoe companies and everyone else. The fact that he dealt with so many distractions and people hating on him and still succeeded was really inspirational. This book has tons of info and quotes from Lebron, and it shows that he seems like a cool guy, too. I would definitely recommend this book if you're a fan of Lebron or just a fan of basketball and sports in general."
